Richard,A,C,Cooke
Robert,J,M,Hudson
Emelie,Elizabeth,Sims,Mies
A,Bryan,Endres
Geoffrey,J,D,Hewings
Maria,Regina,Cattai,de,Godoy
George,C,"Fahey,",Jr
Felipe,Da,Costa,Martins
Margret,Ellen,Berg,Miller
Frederick,E,"Below,",Jr
Santiago,X,Mideros,Mora
Richard,A,Weinzierl
Thomas,B,Voigt
Margarita,De,L,Teran-Garcia
Kelly,K,Freeman,Bost
Robert,"Hughes,",Jr
Michael,G,H,Coles
Robert,J,M,Hudson
Jinelle,Hutchins,Sperry
Richard,A,Weinzierl
Patrick,J,Weatherhead
Flavia,Cristina,Drumond,Andrade
Yelyzaveta,Berdychevsky,Kustanovich
Carena,J,Van,Riper
Nuno,F,da,Costa,Cardoso,Dantas,Ribeiro
Torrey,Mark,John,Loucks
Adel,Nematallah,Naguib,Ibrahim
Janet,E,L,Bercovitz
Charles,E,"Blair,",III
Gregory,B,Northcraft
Hayden,Neville,Noel
George,John,"Krueger,",III
Morgan,J,"Lynge,",Jr
Rustom,Dinyar,Manouchehri,Irani
Ernest,J,"Martin,",III
Fouad,Abd,El,Khalick
Gloriana,Gonzalez,Rivera
Liv,Solveig,Thorstensson,Davila
Bette,P,Van,ES
Linda,Sue,Clizer,Sloat
Saundra,Rice,Murray,Nettles
Elizabeth,A,L,Stine-Morrow
Cheryl,L,Light,Shriner
Rosa,Milagros,Santos,Gilbertz
Princess,U,II,Imoukhuede
Paul,J,A,Kenis
Amy,Jaye,Wagoner,Johnson
Christopher,Paul,Lyman,Barkan
Rosa,Maria,Espinosa,Marzal
Mani,Golparvar,Fard
Youssef,M,A,Hashash
B,F,"Spencer,",Jr
Rafael,Omar,Tinoco,Lopez
Gerald,F,"DeJong,",II
Martin,D,F,Wong
Juan,Jose,Jaramillo,Jimenez
Robert,Carl,Nikolai,Pilawa,Podgurski
Romit,Roy,Choudhury
Martin,D,F,Wong
Harrison,Hyung,Min,Kim
Cecilia,Das,Neves,Barbosa,Leal,Lauten
Christoph,Robert,Eduard,Maass
Armand,Joseph,"Beaudoin,",Jr
Leonardo,Patricio,Chamorro,Chavez
Amy,Elizabeth,LaViers,Minnick
M,Taher,A,Saif
Charles,L,"Tucker,",III
Amy,Jaye,Wagoner,Johnson
Arend,van,der,Zande
Matthias,Grosse,Perdekamp
Naomi,C,R,Makins
Verena,Ingrid,Martinez,Outschoorn
Dale,J,Van,Harlingen
Sara,Bartumeus,Ferre
Andrew,D,"Bailey,",Jr
William,P,D,Cade
Timothy,J,Van,Laar
Chester,L,"Alwes,",Jr
I,Ketut,Gede,Asnawa
Julie,A,H,Rundell
William,Zev,Paul,Steinberg
Anne,C,de,Velder
Clyde,W,"Forrest,",Jr
Geoffrey,J,D,Hewings
Bertram,C,"Bruce,",Jr
Elizabeth,G,Hearne,Claffey
Elizabeth,Fabry,Massa,Hoiem
Emily,Joyce,Magdelyn,Knox
Irvin,Joseph,"Hunt,",III
Philip,S,L,Anderson
Chi-Hing,C,Cheng-De,Vries
Kathryn,B,H,Clancy
Larry,Di,Girolamo
Arif,,Fazel
Elizabeth,Diane,Eves
Paul,J,A,Kenis
John,Burton,"Rosheck,",Jr
Patricia,Lynn,Blum,Simpson
Jonathan,J,L,Higdon
Paul,J,A,Kenis
Jose,Guillermo,Andino,Martinez
Jefferson,Kar,Fai,Chan
Martin,H,W,Gruebele
Joaquin,Rodriguez,Lopez
Wilfred,Adrianus,van,der,Donk
Renske,van,der,Veen
Michele,E,J,Koven
Jorge,Agustin,Lemus,Encalada
Lauren,M,E,Goodlad
Irvin,Joseph,"Hunt,",III
Isabel,Quintana,Wulf
Edward,Jordan,"Sellers,",Jr
Ramon,E,Soto,Crespo
Cristina,Toharia,Zapata
Md,Shakil,Bin,Kashem
Norbert,F,"Huether,",Jr
Josephine,El,Karkafi
Jin,Kim,Pennell
Lane,Oscar,Bingaman,Schwartz
Hye,Suk,James,Yoon
Jennifer,Mary,Anderson,Bliss
Laura,Ramirez,Polo
Philippe,Di,Francesco
Philipp,Christan,Karl,Hieronymi
Aimo,H,J,Hinkkanen
Gabriele,La,Nave
Rui,Antonio,Loja,Fernandes
Lou,Van,Den,Dries
Alexander,Ng,Tengfat,Yong
John,E,"Cronan,",Jr
Nir,Ben,Moshe
Robert,S,"Chaudoin,",Jr
Wendy,K,Tam,Cho
Daniel,"Nagashima,",Jr
Catharine,Edith,Ann,Fairbairn
Laura,Davies,Brenier
Christina,Anne,De,Angelo
Mariana,Gonzalez,Boluda
Javier,Irigoyen,Garcia
Andreia,Lisboa,de,Sousa
Clara,Rae,Marie,Bosak-Schroeder
Daniel,William,Leon,Ruiz
Tara,Earls,Larrison
Tara,Leytham,Powell
Karen,Margaret,Tabb,Dina
Carol,Jane,Wilson,Smith
Igor,Frederico,Canisso
Santiago,Daniel,Gutierrez,Nibeyro
Tisha,Adele,Maria,Harper
Bianca,Da,Costa,Martins
Jodi,S,Matheson
Bianca,Da,Costa,Martins
Mark,,Mitchell
Gay,Y,Miller
Kimberly,Mae,Pattullo
Marilyn,Sue,O'Hara
